timestamp_sec,direction,type,val1,val2,val3,val4,val5,val6
1773038702.868359,RX,IMU,-948,-148,17944,-316,120,20
1773038702.886479,RX,ODOM,0,0,,,,
1773038702.888321,RX,IMU,-964,64,18044,-294,144,23
1773038702.906319,RX,ODOM,0,0,,,,
1773038702.908284,RX,IMU,-844,-108,18008,-311,172,39
1773038702.926286,RX,ODOM,0,0,,,,
1773038702.928083,RX,IMU,-832,-300,18020,-296,162,29
1773038702.946201,RX,ODOM,0,0,,,,
1773038702.947986,RX,IMU,-924,-136,17884,-316,139,36
1773038702.966062,RX,ODOM,0,0,,,,
1773038702.967880,RX,IMU,-980,-84,17940,-317,142,19
1773038702.986074,RX,ODOM,0,0,,,,
1773038702.987800,RX,IMU,-1008,144,18016,-306,153,11
1773038703.005943,RX,ODOM,0,0,,,,
1773038703.007689,RX,IMU,-816,-4,17824,-293,187,37
1773038703.025694,RX,ODOM,0,0,,,,
1773038703.027574,RX,IMU,-688,-164,17976,-268,141,33
1773038703.045711,RX,ODOM,0,0,,,,
1773038703.047537,RX,IMU,-1000,-244,17932,-304,138,23
1773038703.065473,RX,ODOM,0,0,,,,
1773038703.067432,RX,IMU,-1048,-120,17964,-320,151,15
1773038703.085426,RX,ODOM,0,0,,,,
1773038703.087235,RX,IMU,-892,80,18032,-290,141,36
1773038703.105325,RX,ODOM,0,0,,,,
1773038703.107175,RX,IMU,-776,4,17904,-294,148,48
1773038703.125266,RX,ODOM,0,0,,,,
1773038703.127050,RX,IMU,-752,-164,17996,-269,159,35
1773038703.145101,RX,ODOM,0,0,,,,
1773038703.146932,RX,IMU,-824,-208,18016,-296,122,23
1773038703.165107,RX,ODOM,0,0,,,,
1773038703.166949,RX,IMU,-928,-136,18060,-319,146,16
1773038703.184961,RX,ODOM,0,0,,,,
1773038703.186784,RX,IMU,-920,-44,17908,-293,136,26
1773038703.204790,RX,ODOM,0,0,,,,
1773038703.206642,RX,IMU,-844,-104,17964,-289,119,32
1773038703.224802,RX,ODOM,0,0,,,,
1773038703.226625,RX,IMU,-860,-196,17876,-319,124,16
1773038703.244749,RX,ODOM,0,0,,,,
1773038703.246458,RX,IMU,-852,-268,17952,-300,147,32
1773038703.264587,RX,ODOM,0,0,,,,
1773038703.266383,RX,IMU,-872,-56,18020,-291,111,34
1773038703.284404,RX,ODOM,0,0,,,,
1773038703.286389,RX,IMU,-892,-120,18036,-306,137,19
1773038703.304312,RX,ODOM,0,0,,,,
1773038703.306182,RX,IMU,-948,-48,17992,-312,136,10
1773038703.324332,RX,ODOM,0,0,,,,
1773038703.326117,RX,IMU,-952,40,18088,-307,145,23
1773038703.344159,RX,ODOM,0,0,,,,
1773038703.346065,RX,IMU,-748,-88,17992,-285,144,19
1773038703.364113,RX,ODOM,0,0,,,,
1773038703.365950,RX,IMU,-896,-80,17904,-293,141,39
1773038703.383943,RX,ODOM,0,0,,,,
1773038703.385800,RX,IMU,-816,-144,18008,-322,127,11
1773038703.403935,RX,ODOM,0,0,,,,
1773038703.405731,RX,IMU,-980,60,18012,-278,142,18
1773038703.423834,RX,ODOM,0,0,,,,
1773038703.425633,RX,IMU,-952,52,18032,-297,141,22
1773038703.443735,RX,ODOM,0,0,,,,
1773038703.445521,RX,IMU,-900,-60,17892,-287,165,36
1773038703.463614,RX,ODOM,0,0,,,,
1773038703.465467,RX,IMU,-792,-316,18096,-295,144,25
1773038703.483601,RX,ODOM,0,0,,,,
1773038703.485344,RX,IMU,-1020,-184,18060,-295,153,32
1773038703.503408,RX,ODOM,0,0,,,,
1773038703.505235,RX,IMU,-1012,-104,18020,-309,136,23
1773038703.523371,RX,ODOM,0,0,,,,
1773038703.525170,RX,IMU,-940,32,18008,-310,123,15
1773038703.543228,RX,ODOM,0,0,,,,
1773038703.545035,RX,IMU,-752,-120,17992,-300,125,48
1773038703.563241,RX,ODOM,0,0,,,,
1773038703.565097,RX,IMU,-820,-212,18036,-296,143,47
1773038703.583050,RX,ODOM,0,0,,,,
1773038703.584939,RX,IMU,-984,-204,18068,-278,156,8
1773038703.603067,RX,ODOM,0,0,,,,
1773038703.605200,RX,IMU,-1028,12,18056,-291,155,11
1773038703.622882,RX,ODOM,0,0,,,,
1773038703.624671,RX,IMU,-960,68,17968,-289,151,24
1773038703.642731,RX,ODOM,0,0,,,,
1773038703.644573,RX,IMU,-792,-12,17888,-289,158,21
1773038703.662751,RX,ODOM,0,0,,,,
1773038703.664491,RX,IMU,-772,-300,17988,-260,157,31
1773038703.682612,RX,ODOM,0,0,,,,
1773038703.702418,RX,ODOM,0,0,,,,
1773038703.704393,RX,IMU,-1064,88,17980,-307,128,27
1773038703.722358,RX,ODOM,0,0,,,,
